<details> <summary> <b>OpenWrt-nikki new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
1c1f683|Joseph Mory|Sun Apr 12 19:37:46 2026 +0800|ci: update softprops/action-gh-release to v3
e2c9c0f|github-actions[bot]|Sun Apr 12 08:49:08 2026 +0800|chore: update mihomo-alpha to 80072ebb (#801)
8ecb4b1|Joseph Mory|Sat Apr 11 17:40:24 2026 +0800|chore: update scripts for new package structure
d78b768|Joseph Mory|Sat Apr 11 16:01:29 2026 +0800|fix: wrong depends
d2b405f|Joseph Mory|Sat Apr 11 14:51:27 2026 +0800|ci: add mihomo-alpha and mihomo-meta to build packages
20bfeeb|github-actions[bot]|Sat Apr 11 13:48:04 2026 +0800|chore: update mihomo-alpha to 1b2ea145 (#798)
a061dec|github-actions[bot]|Sat Apr 11 13:47:47 2026 +0800|chore: update mihomo-meta to v1.19.23 (#799)
fb209d0|Joseph Mory|Sat Apr 11 13:41:49 2026 +0800|ci: update dependabot
bc46a15|Joseph Mory|Sat Apr 11 13:41:37 2026 +0800|feat: add mihomo-alpha and mihomo-meta package
bc29251|Joseph Mory|Fri Apr 10 15:22:21 2026 +0800|chore: bump version to 1.26.0
</details>
