<details> <summary> <b>openwrt new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
d393c0c6e|CodeChenL|Thu Aug 15 10:20:02 2024 +0800|rockchip: fix failure in copying device dtbs (#12408)
2995b9209|coolsnowwolf|Wed Aug 14 18:41:43 2024 +0800|rockchip: switch to use armbian fw for Armsom Sige1
230b94f01|coolsnowwolf|Wed Aug 14 18:28:11 2024 +0800|armbian-firmware: add new package
ae07efbcc|coolsnowwolf|Wed Aug 14 16:21:17 2024 +0800|rockchip: add Radxa ROCK 5C / 5C Lite support
9e04f29d4|coolsnowwolf|Wed Aug 14 16:13:42 2024 +0800|rockchip: add FriendlyARM NanoPC T6 support
31eb14b9f|coolsnowwolf|Wed Aug 14 16:11:06 2024 +0800|rockchip: add FriendlyARM NanoPi R6C support
38d33aa12|coolsnowwolf|Wed Aug 14 16:09:16 2024 +0800|rockchip: add FriendlyARM NanoPi R6S support
f2cc89eba|coolsnowwolf|Tue Aug 13 18:30:29 2024 +0800|rockchip: add ArmSom RK3588 Sige7 Board support
4589aa519|coolsnowwolf|Tue Aug 13 18:16:38 2024 +0800|arm-trusted-firmware-rockchip-vendor: add RK3588 rkbin support
2a6424e0c|coolsnowwolf|Tue Aug 13 18:13:45 2024 +0800|rockchip: add MangoPi M28K / M28K Pro Board support
81f9de1fa|coolsnowwolf|Tue Aug 13 17:12:19 2024 +0800|rockchip: add Radxa E20C RK3528 support
0c8bcd9ec|coolsnowwolf|Tue Aug 13 17:06:41 2024 +0800|rockchip: add ArmSom RK3528 Sige1 Board support
bd8b27881|coolsnowwolf|Tue Aug 13 16:58:59 2024 +0800|uboot-rk35xx: add rk35xx bsp uboot from rockchip
7d9bd15fb|coolsnowwolf|Tue Aug 13 16:58:00 2024 +0800|arm-trusted-firmware-rockchip-vendor: change to rockchip variable target support
</details>
